BUBBY	bad familiarity for BUBBLEPIPE: '-'
BYYEAR	bad familiarity for BYYEAR: '-'
BYYESTERDAY	bad familiarity for BYYEAR: '-'
BYYOU	bad familiarity for BYYEAR: '-'
BYYOURLEAVE	bad familiarity for BYYEAR: '-'
BYYOURLEAVES	bad familiarity for BYYEAR: '-'
BYYOURSELF	bad familiarity for BYYEAR: '-'
BYZANTINE	bad familiarity for BYYEAR: '-'
BYZANTINECHURCH	bad familiarity for BYYEAR: '-'
BYZANTINEEMPIRE	bad familiarity for BYYEAR: '-'
BYZANTINETEEN	bad familiarity for BYYEAR: '-'
BYZANTIUM	bad familiarity for BYYEAR: '-'
BYZERO	bad familiarity for BYYEAR: '-'
BZCAV	bad familiarity for BYYEAR: '-'
BZE	bad familiarity for BYYEAR: '-'
BZERS	bad familiarity for BYYEAR: '-'
BZZ	bad familiarity for BYYEAR: '-'
BZZT	bad familiarity for BYYEAR: '-'
BZZZZZZZZZZZZZZ	bad familiarity for BYYEAR: '-'
CAA	bad familiarity for BYYEAR: '-'
CHEEZ	bad codes for CHEF: '0'
CHEEZIT	bad codes for CHEF: '0'
CHEEZITS	bad codes for CHEF: '0'
CHEEZQUIZ	bad codes for CHEF: '0'
CHEEZWHIZ	bad codes for CHEF: '0'
CHEF	bad codes for CHEF: '0'
CHEFBOYARDEE	bad codes for CHEF: '0'
CHEFCRAZYHORSE	bad codes for CHEF: '0'
CHEFDOEUVRE	bad codes for CHEF: '0'
CHEFGUEVARA	bad codes for CHEF: '0'
CHEFOFSTATE	bad codes for CHEF: '0'
CHEFOFTHEFUTURE	bad codes for CHEF: '0'
CHEFPIT	bad codes for CHEF: '0'
CHEFS	bad codes for CHEF: '0'
CHEFSALAD	bad codes for CHEF: '0'
CHEFSHAT	bad codes for CHEF: '0'
CHEFSKISS	bad codes for CHEF: '0'
CHEFSKNIFE	bad codes for CHEF: '0'
CHEFSSALAD	bad codes for CHEF: '0'
CHOOCHOOSTRAIN	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOCHOOTOYS	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOCHOOTRAIN	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOCHOOTRAINS	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSE	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEABORROWER	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEANAME	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEAPARTNER	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSECAKE	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEGOOSE	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEGUESTLIST	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEME	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEMETOADOPT	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSENOME	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSENOTTOFAIL	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEONESWORDS	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSEOURLOTSIN	bad familiarity for CHOOCHOOSTRAIN: '-'
CHOOSER	bad familiarity for CHOOCHOOSTRAIN: '-'
DONKEYEARED	bad familiarity for DONKEYEARED: '-'
DONKEYENGINES	bad familiarity for DONKEYEARED: '-'
DONKEYKONG	bad familiarity for DONKEYEARED: '-'
DONKEYKONGJR	bad familiarity for DONKEYEARED: '-'
DONKEYOATHAY	bad familiarity for DONKEYEARED: '-'
DONKEYPAD	bad familiarity for DONKEYEARED: '-'
DONKEYS	bad familiarity for DONKEYEARED: '-'
DONKEYSUNCLE	bad familiarity for DONKEYEARED: '-'
DONKEYSYEARBS	bad familiarity for DONKEYEARED: '-'
DONKEYSYEARS	bad familiarity for DONKEYEARED: '-'
DONKEYTAIL	bad familiarity for DONKEYEARED: '-'
DONKEYTONK	bad familiarity for DONKEYEARED: '-'
DONKEYWORK	bad familiarity for DONKEYEARED: '-'
DONKEYXOTE	bad familiarity for DONKEYEARED: '-'
DONKICKING	bad familiarity for DONKEYEARED: '-'
DONKING	bad familiarity for DONKEYEARED: '-'
DONKINGDECAY	bad familiarity for DONKEYEARED: '-'
DONKNOTTS	bad familiarity for DONKEYEARED: '-'
FIDDLED	duplicate word: 'FIDDLEDEEDEE'
FIDDLEDAROUND	duplicate word: 'FIDDLEDEEDEE'
FIDDLEDEDEE	duplicate word: 'FIDDLEDEEDEE'
FIDDLEDEEDEE	duplicate word: 'FIDDLEDEEDEE'
FIDDLEDWITH	duplicate word: 'FIDDLEDEEDEE'
FIDDLEFADDLE	duplicate word: 'FIDDLEDEEDEE'
FIDDLEFOLDER	duplicate word: 'FIDDLEDEEDEE'
FIDDLEHEAD	duplicate word: 'FIDDLEDEEDEE'
FIDDLENECK	duplicate word: 'FIDDLEDEEDEE'
FIDDLEPLAYERS	duplicate word: 'FIDDLEDEEDEE'
FIDDLER	duplicate word: 'FIDDLEDEEDEE'
FIDDLERCRAB	duplicate word: 'FIDDLEDEEDEE'
FIDDLERCRABS	duplicate word: 'FIDDLEDEEDEE'
FIDDLERDRAB	duplicate word: 'FIDDLEDEEDEE'
FIDDLERONTHEROO	duplicate word: 'FIDDLEDEEDEE'
FIDDLERS	duplicate word: 'FIDDLEDEEDEE'
FIDDLERSGREEN	duplicate word: 'FIDDLEDEEDEE'
FIDDLERSTHREE	duplicate word: 'FIDDLEDEEDEE'
FIDDLES	duplicate word: 'FIDDLEDEEDEE'
FREEVERSAILLES	bad familiarity for FREEVERSAILLES: '-'
FREEVERSE	bad familiarity for FREEVERSAILLES: '-'
FREEVOTE	bad familiarity for FREEVERSAILLES: '-'
FREEWARE	bad familiarity for FREEVERSAILLES: '-'
FREEWAY	bad familiarity for FREEVERSAILLES: '-'
FREEWAYEXIT	bad familiarity for FREEVERSAILLES: '-'
FREEWAYMASONS	bad familiarity for FREEVERSAILLES: '-'
FREEWAYOFLOVE	bad familiarity for FREEVERSAILLES: '-'
FREEWAYS	bad familiarity for FREEVERSAILLES: '-'
FREEWEIGHT	bad familiarity for FREEVERSAILLES: '-'
FREEWEIGHTS	bad familiarity for FREEVERSAILLES: '-'
FREEWHEEL	bad familiarity for FREEVERSAILLES: '-'
FREEWHEELING	bad familiarity for FREEVERSAILLES: '-'
FREEWHEELS	bad familiarity for FREEVERSAILLES: '-'
FREEWIDASHFI	bad familiarity for FREEVERSAILLES: '-'
FREEWIFI	bad familiarity for FREEVERSAILLES: '-'
FREEWILBUR	bad familiarity for FREEVERSAILLES: '-'
FREEWILL	bad familiarity for FREEVERSAILLES: '-'
ABRUPTCHANG	api-batch retries exhausted
ABRUPTDEPARTURE	api-batch retries exhausted
ABRUPTER	api-batch retries exhausted
ABRUPTLY	api-batch retries exhausted
ABRUPTPASSAGE	api-batch retries exhausted
ABRUZZI	api-batch retries exhausted
ABS	api-batch retries exhausted
ABSALOM	api-batch retries exhausted
ABSALOMABSALOM	api-batch retries exhausted
ABSANCE	api-batch retries exhausted
ABSCAM	api-batch retries exhausted
ABSCESS	api-batch retries exhausted
ABSCESSES	api-batch retries exhausted
ABSCISE	api-batch retries exhausted
ABSCISSA	api-batch retries exhausted
ABSCISSAE	api-batch retries exhausted
ABSCISSAS	api-batch retries exhausted
ABSCOND	api-batch retries exhausted
ABSCONDED	api-batch retries exhausted
ABSCONDER	api-batch retries exhausted
ABSCONDS	api-batch retries exhausted
ABSCSS	api-batch retries exhausted
ABSEIL	api-batch retries exhausted
ABSENCE	api-batch retries exhausted
ABSENCEMAKESTHE	api-batch retries exhausted
ABSENCEOFALICE	api-batch retries exhausted
ABSENCEOFLEAVES	api-batch retries exhausted
ABSENCEOFM	api-batch retries exhausted
ABSENCEOFMALICE	api-batch retries exhausted
ABSENCEOFMOTION	api-batch retries exhausted
ABSENCES	api-batch retries exhausted
ABSENSE	api-batch retries exhausted
ABSENT	api-batch retries exhausted
ABSENTABS	api-batch retries exhausted
ABSENTED	api-batch retries exhausted
ABSENTEE	api-batch retries exhausted
ABSENTEEBALL	api-batch retries exhausted
ABSENTEEBALLAD	api-batch retries exhausted
ABSENTEEBALLADS	api-batch retries exhausted
ABSENTEEBALLET	api-batch retries exhausted
ABSENTEEBALLOT	api-batch retries exhausted
ABSENTEEBALLOTS	api-batch retries exhausted
ABSENTEEBOT	api-batch retries exhausted
ABSENTEEISM	api-batch retries exhausted
ABSENTEERATE	api-batch retries exhausted
ABSENTEES	api-batch retries exhausted
ABSENTEEVOTING	api-batch retries exhausted
ABSENTIA	api-batch retries exhausted
ABSENTING	api-batch retries exhausted
ABSENTLY	api-batch retries exhausted
ABSENTMAIL	api-batch retries exhausted
ABSENTMINDED	api-batch retries exhausted
ABSENTPACKING	api-batch retries exhausted
ABSENTS	api-batch retries exhausted
ABSENTSE	api-batch retries exhausted
ABSINTH	api-batch retries exhausted
ABSINTHE	api-batch retries exhausted
ABSINTHEMINDED	api-batch retries exhausted
ABSIT	api-batch retries exhausted
ABSOFST	api-batch retries exhausted
ABSOFSTEEL	api-batch retries exhausted
ABSOFSTEELDVD	api-batch retries exhausted
ABSOLUT	api-batch retries exhausted
ABSOLUTE	api-batch retries exhausted
ABSOLUTEBANGERS	api-batch retries exhausted
ABSOLUTEBLISS	api-batch retries exhausted
ABSOLUTECEILING	api-batch retries exhausted
ABSOLUTECINEMA	api-batch retries exhausted
ABSOLUTEERO	api-batch retries exhausted
ABSOLUTELY	api-batch retries exhausted
ABSOLUTELYADORE	api-batch retries exhausted
ABSOLUTELYNOT	api-batch retries exhausted
ABSOLUTELYRIGHT	api-batch retries exhausted
ABSOLUTEMINIMUM	api-batch retries exhausted
ABSOLUTEMIRACLE	api-batch retries exhausted
ABSOLUTEMONARCH	api-batch retries exhausted
ABSOLUTEMUSCAT	api-batch retries exhausted
ABSOLUTEMUSTARD	api-batch retries exhausted
ABSOLUTEPITCH	api-batch retries exhausted
ABSOLUTEPOW	api-batch retries exhausted
ABSOLUTEPOWER	api-batch retries exhausted
ABSOLUTERULER	api-batch retries exhausted
ABSOLUTERULERS	api-batch retries exhausted
ABSOLUTES	api-batch retries exhausted
ABSOLUTESILENCE	api-batch retries exhausted
ABSOLUTEWORST	api-batch retries exhausted
ABSOLUTEZ	api-batch retries exhausted
ABSOLUTEZER	api-batch retries exhausted
ABSOLUTEZERO	api-batch retries exhausted
ABSOLUTION	api-batch retries exhausted
ABSOLUTIONVODKA	api-batch retries exhausted
ABSOLUTISM	api-batch retries exhausted
ABSOLUTODKA	api-batch retries exhausted
ABSOLUTVALUE	api-batch retries exhausted
ABSOLUTVODKA	api-batch retries exhausted
ABSOLVE	api-batch retries exhausted
ABSOLVED	api-batch retries exhausted
ABSOLVES	api-batch retries exhausted
ABSOLVETHELAW	api-batch retries exhausted
ABSOLVING	api-batch retries exhausted
ABSONANT	api-batch retries exhausted
ABSORB	api-batch retries exhausted
ABSORBED	api-batch retries exhausted
ABSORBENCY	api-batch retries exhausted
ABSORBENT	api-batch retries exhausted
ABSORBENTCOTTON	api-batch retries exhausted
ABSORBENTMINDED	api-batch retries exhausted
ABSORBENTSEA	api-batch retries exhausted
ABSORBER	api-batch retries exhausted
ABSORBING	api-batch retries exhausted
ABSORBS	api-batch retries exhausted
ABSORPTION	api-batch retries exhausted
ABSORPTIVE	api-batch retries exhausted
ABSSYSTEM	api-batch retries exhausted
ABSTAIN	api-batch retries exhausted
ABSTAINED	api-batch retries exhausted
ABSTAINER	api-batch retries exhausted
ABSTAINERS	api-batch retries exhausted
ABSTAINFROMFOOD	api-batch retries exhausted
ABSTAINS	api-batch retries exhausted
ABSTEMIOUS	api-batch retries exhausted
ABSTEMIOUSGROUP	api-batch retries exhausted
ABSTENTION	api-batch retries exhausted
ABSTENTIONS	api-batch retries exhausted
ABSTINENCE	api-batch retries exhausted
ABSTINENT	api-batch retries exhausted
ABSTINENTMINDED	api-batch retries exhausted
ABSTRACT	api-batch retries exhausted
ABSTRACTALGEBRA	api-batch retries exhausted
ABSTRACTART	api-batch retries exhausted
ABSTRACTDART	api-batch retries exhausted
ABSTRACTED	api-batch retries exhausted
ABSTRACTIDEA	api-batch retries exhausted
ABSTRACTION	api-batch retries exhausted
ABSTRACTIONIST	api-batch retries exhausted
ABSTRACTLY	api-batch retries exhausted
ABSTRACTPAIN	api-batch retries exhausted
ABSTRACTPOINTER	api-batch retries exhausted
ABSTRACTS	api-batch retries exhausted
ABSTRACTTART	api-batch retries exhausted
ABSTRUSE	api-batch retries exhausted
ABSTRUSER	api-batch retries exhausted
ABSURD	api-batch retries exhausted
ABSURDER	api-batch retries exhausted
ABSURDEST	api-batch retries exhausted
ABSURDIST	api-batch retries exhausted
ABSURDITIES	api-batch retries exhausted
ABSURDITY	api-batch retries exhausted
ABSURDITYIS	api-batch retries exhausted
ABSURDUM	api-batch retries exhausted
ADIRONDACKS	api-batch retries exhausted
ADIRTDEVIL	api-batch retries exhausted
